Date,GLD,SPY,TLT.O,TSLA.O
2020-01-02,0.007347795660000001,0.009351892130000001,0.011330085620000001,0.02851815552
2020-01-03,0.013268496009999999,-0.00757225967,0.01536328139,0.029633245010000003
2020-01-06,0.01048951049,0.0038150181399999998,-0.00567855089,0.01925464436
2020-01-07,0.00393513807,-0.00281176616,-0.00495192655,0.03880054923
2020-01-08,-0.00750152058,0.0053295324300000006,-0.0065748846699999995,0.04920479256
2020-01-09,-0.00565164102,0.006780705809999999,0.00351031154,-0.02194497501
2020-01-10,0.00602615901,-0.00287769784,0.00889083224,-0.00662733203
2020-01-13,-0.0074195085400000005,0.0068772834699999995,-0.00303380526,0.09768900972000001
2020-01-14,-0.00089151008,-0.0015246226600000002,0.005144182000000001,0.0248828259
2020-01-15,0.00583430572,0.00225988701,0.00663158653,-0.03610202261
2020-01-16,-0.0015695373300000002,0.00831835217,-0.00315073398,-0.00966248795
2020-01-17,0.0018453967600000002,0.00311253475,-0.00854823648,-0.00582289821
2020-01-21,0.0010915541,-0.00195812622,0.010505723810000001,0.07189030362
2020-01-22,0.00034073872,0.00012073649000000001,0.00351330035,0.040862573099999994
2020-01-23,0.00224810954,0.00114685821,0.00700200057,0.00463515696
2020-01-24,0.00584556824,-0.008893042319999999,0.00808854832,-0.012897588259999999
2020-01-27,0.00682524665,-0.01602944308,0.015554617120000001,-0.012039233739999999
2020-01-28,-0.008926773609999999,0.01047913447,-0.00783145055,0.01591340812
2020-01-29,0.005417851820000001,-0.0008259659199999999,0.00977926795,0.02485447169
2020-01-30,6.735821e-05,0.0032453615800000003,0.00013835086,0.10296218524
2020-01-31,0.00579241598,-0.01815795898,0.00912989348,0.015230723619999999
2020-02-03,-0.00649568071,0.00742858919,-0.0008090061699999999,0.19894861429
2020-02-04,-0.01300889728,0.01524126867,-0.013467088089999999,0.13725641026
2020-02-05,0.0012292562999999999,0.01154804595,-0.01093467057,-0.17175839289
2020-02-06,0.00538844554,0.0033647779799999998,0.00450672488,0.0194092827
2020-02-07,0.0026458616,-0.00532966046,0.012478093240000002,-0.0011883144599999999
2020-02-10,0.00257121591,0.0074653823,0.00276950772,0.03102650821
2020-02-11,-0.00344199231,0.00173299869,-0.00504039218,0.0040192926
2020-02-12,-0.00081267777,0.006442760840000001,-0.00506592644,-0.00915571167
2020-02-13,0.00569337129,-0.00106691957,0.00383622794,0.04784370968
2020-02-14,0.00417846071,0.00160208865,0.00437743191,-0.00493781095
2020-02-18,0.012818791949999998,-0.0025770142200000003,0.00684884123,0.07295976401
2020-02-19,0.00583129017,0.0047812787699999994,-6.870963e-05,0.06875582479
2020-02-20,0.00408459055,-0.00410829343,0.0078334364,-0.019631139500000002
2020-02-21,0.015025260810000001,-0.010298263839999999,0.0093406968,0.00176782557
2020-02-24,0.00898513251,-0.03316540722,0.014928397730000001,-0.07459489456
2020-02-25,-0.01787430329,-0.03030209044,0.00532445923,-0.040633732709999995
2020-02-26,0.00437051533,-0.00367823445,-0.00529625952,-0.02639046893
2020-02-27,0.00019484315,-0.044911717500000004,0.01084858569,-0.12814586543
2020-02-28,-0.03649350649,-0.00420153944,0.022583618649999998,-0.01621502209
2020-03-02,0.0055263512599999995,0.04330655505,-0.0073450389500000005,0.11322025779
2020-03-03,0.03143431635,-0.02863243715,0.01552552943,0.0025416207200000002
2020-03-04,0.0017544999699999999,0.042033040230000006,-0.0106185633,0.00535204088
2020-03-05,0.02160093409,-0.03324170556,0.02489170492,-0.03330220147
2020-03-06,0.00038097657,-0.016531111549999998,0.052043906130000005,-0.02906671819
2020-03-09,0.00165026976,-0.07809453372,0.02710319602,-0.13572525161
2020-03-10,-0.021101324379999998,0.05174488568,-0.051258100300000005,0.06139802632
